什么是区块链？区块链的工作原理是什么？,"去中心化的分布式账本，通过加密技术以及共识机制来处理。
去中心化是指控制权不属于某一个人，
分布式账本是指，整个去中心化系统有很多节点，这些节点负责记录交易数据。
区块中有整个系统的所有资金交易数据，区块按照加密的hash值链接起来，形成一条链的结构，不可以篡改，不可伪造，所有人可以信任交易透明数据。
所有账户的资金记录主要有两个模型，UTXO模式，账户模型。"
安全服务器环境有哪些？,"cloudHSM，TEE，KMS
cloudHSM，集成了ECDSA，但是有上限，一般用于热钱包，或者冷钱包
TEE是部署的软代码，tee还是使用得更多
将代码通过enclave包裹提交进去执行
KMS（key manager server）密钥配置在服务器的key value中，然后去读取
wallet.data，在代码的服务器上"
钱包的类别有哪些？,"中心化钱包：私钥保存在交易所的安全环境中
去中心化钱包：私钥一般是存放在用户本地，通过对称加密的算法进行保存
硬件钱包：私钥存储在专用的硬件设备中，离线保存
智能合约钱包：
- 社交恢复钱包，私钥分成多个部分，通过门限共享秘密算法恢复
- 多签钱包，多把私钥控制一个钱包，签名需要通过m-n的审核签名机制进行处理
MPC钱包：私钥分成多个部分，通过MPC的机制共同生成最终的签名"
中心化钱包功能模块有哪些？,"地址分配
风控
充值
提现
归集
冷热
和其他业务系统对接，财务对账等等"
交易分叉，遇到分叉一般怎么处理（对于钱包来说，ETH信标链的充提高度如何设置）,在eth中，一般是等过了64个slot，才会去处理数据。
RPC节点供应商有哪些？,"https://docs.alchemy.com/reference/eth-gettransactioncount
https://www.quicknode.com/docs/ethereum/eth_getTransactionCount
https://getblock.io/docs/eth/json-rpc/eth_eth_getbalance/"
Rosetta Api是什么？,"Bitcoin Rosetta API 是由 Coinbase 提出的 Rosetta 标准的一部分，旨在为区块链和钱包提供一个统一的接口标准。这个标准化的接口使得与各种区块链的交互更加容易和一致，无论是对交易数据的读取还是写入。目前已经支持很多链，包含比特币，以太坊等主流链，也包含像 IoTex 和 Oasis 这样的非主流链。
Rosetta API 分为两部分：
- Data API：用于读取区块链数据。
- Construction API：用于构建和提交交易。"
Data API是什么？,"Data API 提供了一组端点，用于检索区块链数据，如区块、交易、余额等。主要端点包括：
- /network/list：返回支持的网络列表。
- /network/status：返回当前网络的状态信息。
- /network/options：返回支持的网络选项和版本信息。
- /block：返回指定区块的数据。
- /block/transaction：返回指定交易的数据。
- /account/balance：返回指定账户的余额。
- /mempool：返回当前未确认的交易池。
- /mempool/transaction：返回指定未确认交易的数据。"
Construction API是什么？,"Construction API 提供了一组端点，用于创建、签名和提交交易。主要端点包括：
- /construction/preprocess：分析交易需求并返回交易所需的元数据。
- /construction/metadata：返回构建交易所需的元数据。
- /construction/payloads：生成待签名的交易有效载荷。
- /construction/parse：解析交易并返回其操作。
- /construction/combine：将签名与待签名交易合并。
- /construction/hash：返回交易的唯一标识符（哈希）。
- /construction/submit：提交签名后的交易。"
Transaction Malleability 是什么？,"交易可塑性（Transaction Malleability）是指在区块链和加密货币交易中，攻击者可以修改交易的签名部分（ScriptSig），创建一个有效但TXID不同的交易。
这可能导致后续依赖于原始TXID的交易失效。"
UTXO中，我如何知道一笔交易是成功的？,UTXO中，我如何知道一笔交易是成功的？
为什么账户模型没有 Transaction Malleability？,"状态管理：交易直接修改账户状态，而不是引用之前的交易。
交易结构：通常包含nonce（防止重放攻击）和其他固定字段。
签名验证：签名通常不包含在交易ID的计算中。"
描述一下交易钱包的充值和提现流程,"充值
交易所给用户提供地址，用户把钱转进来
扫链：获取最新块高，从上一次解析的块开始到最新块高进行交易解析
交易解析完之后，如果交易里面 to 是系统用户，则是充值，解析完成之后上账，并通知业务层
提现
获取需要的签名参数
交易离线签名：组织交易，生成待签名消息摘要，将待签名的消息摘要递给签名机进行签名，签名机签名完成之后返回签名串
构建完整的交易并发送区块链网络，将签名时计算出来的交易 Hash 或者发送交易时返回交易 Hash 更新到数据库
扫链解析到这笔交易，说明提现成功。"
助记词生成的流程,"第一步：随机熵生成
第二步：计算校验和
第三步：组合熵和校验和
第四步：分割助记词索引
第五步：映射为助记词"
助记词的验证过程,"第一步：检查助记词数量
第二步：检查助记词是否在词汇表
第三步：将助记词转换成索引
第四步：提取种子的校验和
第五步：计算校验和
第六步：验证校验和"
